Year,Month,percent,regionId,date,regionName,
1889,Jun,-0.27,1,1889 Jun,Global,
1889,Jul,-0.37,1,1889 Jul,Global,
1889,Aug,-0.56,1,1889 Aug,Global,
1889,Sep,-0.34,1,1889 Sep,Global,
1889,Oct,-0.15,1,1889 Oct,Global,
1889,Nov,-0.4,1,1889 Nov,Global,
1889,Dec,-0.37,1,1889 Dec,Global,
1890,Jan,-0.57,1,1890 Jan,Global,
1890,Feb,-0.59,1,1890 Feb,Global,
1890,Mar,-0.57,1,1890 Mar,Global,
1890,Apr,-0.47,1,1890 Apr,Global,
1890,May,-0.87,1,1890 May,Global,
1890,Jun,-0.54,1,1890 Jun,Global,
1890,Jul,-0.52,1,1890 Jul,Global,
1890,Aug,-0.53,1,1890 Aug,Global,
1890,Sep,-0.29,1,1890 Sep,Global,
1890,Oct,-0.23,1,1890 Oct,Global,
1890,Nov,-0.74,1,1890 Nov,Global,
1890,Dec,-0.5,1,1890 Dec,Global,
1891,Jan,-0.91,1,1891 Jan,Global,
1891,Feb,-1.01,1,1891 Feb,Global,
1891,Mar,-0.48,1,1891 Mar,Global,
1891,Apr,-0.62,1,1891 Apr,Global,
1891,May,-0.45,1,1891 May,Global,
1891,Jun,-0.53,1,1891 Jun,Global,
1891,Jul,-0.67,1,1891 Jul,Global,
1891,Aug,-0.54,1,1891 Aug,Global,
1891,Sep,-0.44,1,1891 Sep,Global,
1891,Oct,-0.5,1,1891 Oct,Global,
1891,Nov,-0.48,1,1891 Nov,Global,
1891,Dec,0.08,1,1891 Dec,Global,
1892,Jan,-0.61,1,1892 Jan,Global,
1892,Feb,-0.29,1,1892 Feb,Global,
1892,Mar,-0.57,1,1892 Mar,Global,
1892,Apr,-0.68,1,1892 Apr,Global,
1892,May,-0.62,1,1892 May,Global,
1892,Jun,-0.52,1,1892 Jun,Global,
1892,Jul,-0.36,1,1892 Jul,Global,
1892,Aug,-0.23,1,1892 Aug,Global,
1892,Sep,-0.45,1,1892 Sep,Global,
1892,Oct,-0.32,1,1892 Oct,Global,
1892,Nov,-0.6,1,1892 Nov,Global,
1892,Dec,-0.59,1,1892 Dec,Global,
1893,Jan,-1.41,1,1893 Jan,Global,
1893,Feb,-0.99,1,1893 Feb,Global,
1893,Mar,-0.58,1,1893 Mar,Global,
1893,Apr,-0.64,1,1893 Apr,Global,
1893,May,-0.71,1,1893 May,Global,
1893,Jun,-0.64,1,1893 Jun,Global,
1893,Jul,-0.09,1,1893 Jul,Global,
1893,Aug,-0.31,1,1893 Aug,Global,
1893,Sep,-0.21,1,1893 Sep,Global,
1893,Oct,-0.04,1,1893 Oct,Global,
1893,Nov,-0.1,1,1893 Nov,Global,
1893,Dec,-0.35,1,1893 Dec,Global,
1894,Jan,-0.75,1,1894 Jan,Global,
1894,Feb,-0.6,1,1894 Feb,Global,
1894,Mar,-0.39,1,1894 Mar,Global,
1894,Apr,-0.62,1,1894 Apr,Global,
1894,May,-0.64,1,1894 May,Global,
1894,Jun,-0.46,1,1894 Jun,Global,
1894,Jul,-0.37,1,1894 Jul,Global,
1894,Aug,-0.3,1,1894 Aug,Global,
1894,Sep,-0.39,1,1894 Sep,Global,
1894,Oct,-0.06,1,1894 Oct,Global,
1894,Nov,-0.13,1,1894 Nov,Global,
1894,Dec,-0.15,1,1894 Dec,Global,
1895,Jan,-0.67,1,1895 Jan,Global,
1895,Feb,-0.75,1,1895 Feb,Global,
1895,Mar,-0.48,1,1895 Mar,Global,
1895,Apr,-0.43,1,1895 Apr,Global,
1895,May,-0.28,1,1895 May,Global,
1895,Jun,-0.26,1,1895 Jun,Global,
1895,Jul,-0.5,1,1895 Jul,Global,
1895,Aug,-0.16,1,1895 Aug,Global,
1895,Sep,-0.11,1,1895 Sep,Global,
1895,Oct,-0.07,1,1895 Oct,Global,
1895,Nov,-0.14,1,1895 Nov,Global,
1895,Dec,-0.07,1,1895 Dec,Global,
1896,Jan,-0.21,1,1896 Jan,Global,
1896,Feb,-0.27,1,1896 Feb,Global,
1896,Mar,-0.5,1,1896 Mar,Global,
1896,Apr,-0.44,1,1896 Apr,Global,
