Year,Month,percent,regionId,date,regionName
1890,Sep,-29,1,1890 Sep,Global
1890,Oct,-23,1,1890 Oct,Global
1890,Nov,-74,1,1890 Nov,Global
1890,Dec,-50,1,1890 Dec,Global
1891,Jan,-91,1,1891 Jan,Global
1891,Feb,-101,1,1891 Feb,Global
1891,Mar,-48,1,1891 Mar,Global
1891,Apr,-62,1,1891 Apr,Global
1891,May,-45,1,1891 May,Global
1891,Jun,-53,1,1891 Jun,Global
1891,Jul,-67,1,1891 Jul,Global
1891,Aug,-54,1,1891 Aug,Global
1891,Sep,-44,1,1891 Sep,Global
1891,Oct,-50,1,1891 Oct,Global
1891,Nov,-48,1,1891 Nov,Global
1891,Dec,8,1,1891 Dec,Global
1892,Jan,-61,1,1892 Jan,Global
1892,Feb,-29,1,1892 Feb,Global
1892,Mar,-57,1,1892 Mar,Global
1892,Apr,-68,1,1892 Apr,Global
1892,May,-62,1,1892 May,Global
1892,Jun,-52,1,1892 Jun,Global
1892,Jul,-36,1,1892 Jul,Global
1892,Aug,-23,1,1892 Aug,Global
1892,Sep,-45,1,1892 Sep,Global
1892,Oct,-32,1,1892 Oct,Global
1892,Nov,-60,1,1892 Nov,Global
1892,Dec,-59,1,1892 Dec,Global
1893,Jan,-141,1,1893 Jan,Global
1893,Feb,-99,1,1893 Feb,Global
1893,Mar,-58,1,1893 Mar,Global
1893,Apr,-64,1,1893 Apr,Global
1893,May,-71,1,1893 May,Global
1893,Jun,-64,1,1893 Jun,Global
1893,Jul,-9,1,1893 Jul,Global
1893,Aug,-31,1,1893 Aug,Global
1893,Sep,-21,1,1893 Sep,Global
1893,Oct,-4,1,1893 Oct,Global
1893,Nov,-10,1,1893 Nov,Global
1893,Dec,-35,1,1893 Dec,Global
1894,Jan,-75,1,1894 Jan,Global
1894,Feb,-60,1,1894 Feb,Global
1894,Mar,-39,1,1894 Mar,Global
1894,Apr,-62,1,1894 Apr,Global
1894,May,-64,1,1894 May,Global
1894,Jun,-46,1,1894 Jun,Global
1894,Jul,-37,1,1894 Jul,Global
1894,Aug,-30,1,1894 Aug,Global
1894,Sep,-39,1,1894 Sep,Global
1894,Oct,-6,1,1894 Oct,Global
1894,Nov,-13,1,1894 Nov,Global
1894,Dec,-15,1,1894 Dec,Global
1895,Jan,-67,1,1895 Jan,Global
1895,Feb,-75,1,1895 Feb,Global
1895,Mar,-48,1,1895 Mar,Global
1895,Apr,-43,1,1895 Apr,Global
1895,May,-28,1,1895 May,Global
